Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Agüero e/ Avenida Santa Fe y Güemes;Recoleta, Capital Federal;$ 1.000.000;$ 240.000 Expensas;150;5;2;2;0
Azucena Villaflor  al 500;Puerto Madero, Capital Federal;USD 3.500;$ 200.000 Expensas;83;2;1;1;1
Junin al 300;Congreso, Capital Federal;$ 1.000.000;$ 250.000 Expensas;105;4;3;1;0
Quartier del Bajo;Puerto Madero, Capital Federal;USD 750;$ 100.000 Expensas;35;1;0;1;0
Sánchez de Bustamante e/ French y Peña;Recoleta, Capital Federal;$ 1.200.000;$ 310.000 Expensas;120;3;2;1;1
Fray Justo Santa María de Oro e/ Beruti y Juncal;Palermo, Capital Federal;USD 1.300;$ 250.000 Expensas;60;1;0;1;0
Cerrito al 100;Centro / Microcentro, Capital Federal;$ 700.000;$ 199.000 Expensas;70;3;2;2;0
Olga Cossettini al 1500;Puerto Madero, Capital Federal;USD 1.200;$ 500.000 Expensas;57;2;1;1;1
Petrona Eyle  al 250;Puerto Madero, Capital Federal;USD 2.500;$ 850.000 Expensas;115;2;1;1;2
Av. Rivadavia  2300 2°;Balvanera, Capital Federal;$ 400.000;$ 95.000 Expensas;40;2;1;1;0
Azucena Villaflor 500;Puerto Madero, Capital Federal;USD 11.570;$ 900.000 Expensas;248;4;3;3;1
Avenida Córdoba e/ Estado de Palestina y Pringles;Palermo, Capital Federal;USD 800;;54;3;2;1;0
Ayacucho y Sarmiento;Congreso, Capital Federal;USD 600;$ 200.000 Expensas;43;1;0;1;0
Palermo;Palermo, Capital Federal;USD 900;;65;1;1;1;1
Av. Córdoba al 4700;Palermo, Capital Federal;$ 350.000;$ 59.000 Expensas;22;1;0;1;0
Republica de la India al 3000;Palermo Chico, Palermo;$ 850.000;$ 246.000 Expensas;80;3;2;1;0
Av Corrientes  al 4500;Almagro, Capital Federal;$ 440.000;$ 115.000 Expensas;33;1;0;1;1
Pacheco de Melo al 1800;Recoleta, Capital Federal;USD 650;$ 291.330 Expensas;44;1;0;1;1
Guido al 1700;Recoleta, Capital Federal;$ 1.200.000;$ 282.607 Expensas;85;3;2;1;0
Montevideo al 1700;Recoleta, Capital Federal;USD 2.700;$ 753.657 Expensas;173;6;3;4;0
Av. Cordoba  600 3°;Centro / Microcentro, Capital Federal;$ 400.000;$ 250.000 Expensas;37;1;0;1;0
Paroissien al 1700;Núñez, Capital Federal;USD 1.500;$ 400.000 Expensas;128;4;3;2;1
Arroyo 800;Retiro, Capital Federal;USD 2.500;$ 157.000 Expensas;67;3;2;1;0
Beruti  2400 6°;Recoleta, Capital Federal;$ 360.000;$ 47.500 Expensas;35;1;0;1;0
Lafinur al 3200;Botánico, Palermo;USD 900;$ 80.000 Expensas;33;1;1;1;0
Azucena Villaflor al 500;Puerto Madero, Capital Federal;USD 7.000;$ 1.700.000 Expensas;240;4;3;4;2
Acevedo 500;Villa Crespo, Capital Federal;$ 900.000;$ 152.669 Expensas;48;2;1;1;1
Juana Manso 100;Puerto Madero, Capital Federal;USD 1.700;$ 350.000 Expensas;70;2;1;1;1
Avenida Libertador al 4400;Palermo, Capital Federal;Consultar precio;;400;5;4;5;3
Moldes al 600;Colegiales, Capital Federal;USD 500;$ 180.000 Expensas;36;1;0;1;0
Dorrego  al 2600;Las Cañitas, Palermo;USD 1.800;$ 330.000 Expensas;190;4;3;2;1
Lola Mora 400;Puerto Madero, Capital Federal;USD 1.150;$ 290.000 Expensas;47;1;0;1;0
Suipacha al 1300;Retiro, Capital Federal;USD 4.000;$ 2.000.000 Expensas;234;5;3;3;2
Libertad al 1100;Recoleta, Capital Federal;$ 600.000;$ 350.000 Expensas;56;2;1;1;0
Austria  al 1700;Recoleta, Capital Federal;$ 500.000;$ 100.000 Expensas;43;2;1;1;0
Avenida del Libertador 2700;Palermo Chico, Palermo;USD 4.000;$ 1.200.000 Expensas;210;5;3;4;2
Concepción Arenal 2900;Colegiales, Capital Federal;USD 2.500;$ 445.000 Expensas;85;3;2;2;1
Lavalle  al 700;Centro / Microcentro, Capital Federal;$ 600.000;;35;2;1;1;0
Av Belgrano al 2300;Balvanera, Capital Federal;$ 380.000;$ 55.000 Expensas;30;2;1;1;0
Tte. B. Matienzo 1700 Caba;Las Cañitas, Palermo;$ 670.000;$ 190.000 Expensas;65;3;2;1;0
Santa Fe al 3900;Botánico, Palermo;USD 2.500;$ 300.000 Expensas;130;5;1;2;0
Juncal  al 1600;Recoleta, Capital Federal;$ 600.000;$ 100.000 Expensas;42;1;0;1;0
Torre Decó J. F. Segui al 4600 (godoy Cruz y Sinclair);Palermo, Capital Federal;USD 2.500;$ 490.000 Expensas;104;3;2;3;1
Nicolas Granada al 1600;La Paternal, Capital Federal;$ 410.000;$ 52.000 Expensas;39;1;0;1;0
Libertad 1600;Retiro, Capital Federal;USD 1.100;;67;2;1;1;0
Avenida Independencia y Catamarca;San Cristobal, Capital Federal;$ 500.000;$ 105.000 Expensas;37;1;0;1;0
Avenida Elcano 3200;Colegiales, Capital Federal;$ 500.000;$ 85.000 Expensas;44;2;1;1;0
Libertador al 5000;Belgrano, Capital Federal;USD 1.900;$ 660.000 Expensas;150;4;3;4;1
Castex al 3300;Palermo Chico, Palermo;USD 1.400;$ 350.000 Expensas;100;3;2;1;0
Báez 400;Las Cañitas, Palermo;$ 770.000;$ 200.000 Expensas;70;2;1;1;0
Sinclair  al 3200  y Libertador;Palermo Nuevo, Palermo;USD 2.300;$ 534.000 Expensas;143;4;3;2;1
Blanco Encalada  al 1900;Belgrano, Capital Federal;$ 800.000;$ 152.000 Expensas;49;2;1;1;0
Av. Quintana al 400;Recoleta, Capital Federal;USD 3.600;$ 1.106.000 Expensas;309;7;5;4;2
Arroyo al 800;Retiro, Capital Federal;USD 4.000;$ 400.000 Expensas;85;3;2;1;1
Avenida San Juan e/ Sánchez de Loria y 24 de Noviembre;Boedo, Capital Federal;$ 450.000;$ 90.000 Expensas;30;1;0;1;0
Junín al 1000;Recoleta, Capital Federal;$ 1.050.000;$ 630.000 Expensas;150;4;3;2;0
Zuviria  al 800;Parque Chacabuco, Capital Federal;$ 550.000;$ 202.000 Expensas;50;2;1;1;0
Uruguay  al 1200;Recoleta, Capital Federal;USD 1.500;$ 398.100 Expensas;150;4;3;2;1
Suipacha  al 1200;Retiro, Capital Federal;USD 2.300;$ 460.000 Expensas;177;5;4;2;1
11 de Septiembre al 1900;Belgrano, Capital Federal;USD 6.000;$ 650.000 Expensas;370;5;4;5;2
Macacha Güemes 300;Puerto Madero, Capital Federal;USD 3.000;$ 10 Expensas;133;2;1;1;1
Juana Manso  al 1800;Puerto Madero, Capital Federal;USD 4.500;$ 1.191.230 Expensas;262;3;2;2;2
Paroissien  al 2600;Núñez, Capital Federal;$ 420.000;$ 93.000 Expensas;28;1;0;1;0
Muñiz 1000;Boedo, Capital Federal;$ 530.000;$ 149.849 Expensas;54;2;1;1;0
Chateau - 4 Ambientes- Amoblado  -balcón - 197 m2 - Full Amenities - Puerto Madero;Puerto Madero, Capital Federal;USD 5.500;$ 1 Expensas;197;4;3;3;1
Alejandro María Aguado al 2800;Palermo Chico, Palermo;USD 10.000;$ 2.900.000 Expensas;344;7;4;4;1
11 de Septiembre  al 1900;Belgrano, Capital Federal;USD 5.000;$ 650.000 Expensas;370;5;4;6;2
José Andrés Pacheco de Melo 2700;Recoleta, Capital Federal;$ 600.000;$ 110.000 Expensas;35;1;0;1;0
Valentin Virasoro 700. Entre Felipe vallese y Arengreen;Caballito, Capital Federal;$ 420.000;$ 140.000 Expensas;34;1;1;1;0
Viamonte al 500;San Nicolás, Capital Federal;USD 4.000;$ 900.000 Expensas;796;14;11;6;2
Arce al 400;Las Cañitas, Palermo;USD 1.000;$ 400.000 Expensas;45;2;1;1;1
Marta Lynch  al 400;Puerto Madero, Capital Federal;USD 3.600;$ 800.000 Expensas;146;3;2;3;2
Macacha Güemes 300;Puerto Madero, Capital Federal;USD 3.500;$ 10 Expensas;136;3;2;1;1
Nicaragua al 6000;Palermo Hollywood, Palermo;USD 1.300;;60;2;1;1;0
Concepción Arenal 2989, Palermo Hollywood;Palermo, Capital Federal;USD 3.600;;65;2;1;1;0
Arce al 900;Las Cañitas, Palermo;$ 400.000;$ 175.450 Expensas;40;1;0;1;0
Departamento en Alquiler, 3 Ambientes, en Recoleta, Capital Federal,  Caba;Recoleta, Capital Federal;USD 1.200;;65;3;2;1;0
Aguado al 2800;Palermo Chico, Palermo;USD 10.000;$ 2.407.900 Expensas;319;7;4;3;1
Cordoba al 2400;Barrio Norte, Capital Federal;$ 500.000;$ 120.000 Expensas;44;1;0;1;0
Unidad E.;Villa del Parque, Capital Federal;Consultar precio;;47;2;0;1;0
Libertador al 3700;Palermo, Capital Federal;USD 7.300;;400;6;5;4;2
Aime Paime al al 1100;Puerto Madero, Capital Federal;USD 3.500;$ 1 Expensas;75;2;1;1;1
Donado 1755;Belgrano, Capital Federal;$ 400.000;$ 76.000 Expensas;36;1;0;1;0
Florida e/ Tucumán y Viamonte;San Nicolás, Capital Federal;USD 400;$ 90.000 Expensas;35;1;0;1;0
Dickman 1100;La Paternal, Capital Federal;$ 600.000;$ 38.000 Expensas;53;3;2;1;0
Malabia al 400;Villa Crespo, Capital Federal;$ 1.100.000;$ 280.000 Expensas;65;2;1;1;1
Thames 2100;Palermo, Capital Federal;USD 2.400;$ 534.242 Expensas;92;3;2;2;1
Sarandi  40;Balvanera, Capital Federal;$ 400.000;$ 67.750 Expensas;38;2;1;1;0
Rodriguez Peña al 2000;Recoleta, Capital Federal;$ 1.100.000;$ 283.000 Expensas;100;3;2;1;1
BULNES 1500. Entre Honduras y El salvador;Palermo, Capital Federal;$ 460.000;$ 70.000 Expensas;34;1;0;1;0
Padilla 700;Villa Crespo, Capital Federal;$ 400.000;$ 120.000 Expensas;39;1;0;1;0
Beruti  al 3000;Botánico, Palermo;$ 950.000;$ 450.000 Expensas;58;2;1;1;1
Mexico 55;Puerto Madero, Capital Federal;USD 900;$ 180.000 Expensas;58;2;1;1;0
Paroissien al 1700;Núñez, Capital Federal;$ 385.000;$ 130.000 Expensas;38;1;0;1;0
Manzanares al 1600;Núñez, Capital Federal;USD 630;$ 260.000 Expensas;44;2;1;1;0
Suipacha al 1100;Retiro, Capital Federal;$ 420.000;$ 80.000 Expensas;25;1;0;1;0
Libertador 8500;Núñez, Capital Federal;$ 890.000;$ 300.000 Expensas;55;2;1;1;1
Lavalle  al 1100;Tribunales, Capital Federal;$ 570.000;;78;2;1;2;0
AV. JUJUY 1500. Entre Av. juan de garay y Av. pavon;San Cristobal, Capital Federal;$ 690.000;$ 66.000 Expensas;70;3;2;1;0
Mexico  55;Puerto Madero, Capital Federal;USD 800;;42;1;0;1;0
Scalabrini Ortiz  3300 8°;Palermo, Capital Federal;$ 900.000;$ 160.000 Expensas;60;3;2;1;0
Alvarez Thomas  200;Palermo, Capital Federal;USD 390;$ 240.000 Expensas;37;1;0;0;0
Franklin D. Roosevelt  4500  3°;Villa Urquiza, Capital Federal;$ 850.000;$ 80.000 Expensas;75;2;1;1;0
Sucre al 1500;Núñez, Capital Federal;USD 2.500;$ 700.000 Expensas;140;4;3;2;1
Sarandí al 100;Congreso, Capital Federal;$ 600.000;$ 100.000 Expensas;76;3;2;1;0
Franklin Roosevelt e/ Avenida Cabildo y Ciudad de La Paz;Belgrano C, Belgrano;$ 830.000;$ 190.000 Expensas;80;3;2;1;0
Av. Pueyrredón al 2300;Recoleta, Capital Federal;USD 2.800;$ 776.400 Expensas;287;6;4;3;1
Julian Alvarez , casi Santa Fe;Botánico, Palermo;$ 600.000;$ 55.000 Expensas;37;1;0;1;0
Segui al 3600;Palermo, Capital Federal;USD 850;$ 148.464 Expensas;54;2;1;1;0
Posadas al 1100;Recoleta, Capital Federal;USD 1.000;$ 267.665 Expensas;85;3;2;2;1
Vuelta de Obligado al 3200 11°;Núñez, Capital Federal;USD 1.100;$ 158.970 Expensas;87;2;1;1;0
Av. Independencia  1200 7°;Monserrat, Capital Federal;$ 600.000;$ 100.000 Expensas;58;3;2;1;0
Libertad 1300;Recoleta, Capital Federal;USD 4.500;$ 2.700.000 Expensas;508;5;4;4;2
Remedios Escalada De San Martín al 900;Caballito, Capital Federal;$ 450.000;$ 150.000 Expensas;45;1;0;1;0
Av. Alvear al 1500;Recoleta, Capital Federal;USD 2.500;$ 700.000 Expensas;192;5;2;2;1
Juana Manso 1300;Puerto Madero, Capital Federal;USD 1.500;$ 600.000 Expensas;98;3;2;2;1
Crisólogo Larralde 3500;Saavedra, Capital Federal;$ 2.300.000;$ 350.000 Expensas;158;3;2;2;0
Arroyo al 800;Retiro, Capital Federal;USD 1.500;$ 453.097 Expensas;156;5;3;2;0
La Pampa 1335;Belgrano, Capital Federal;$ 450.000;$ 180.000 Expensas;40;1;0;1;0
Avenida Juan de Garay e/ General Urquiza y 24 de Noviembre;Parque Patricios, Capital Federal;$ 600.000;$ 130.000 Expensas;68;2;1;1;0
VILLARROEL 1100;Villa Crespo, Capital Federal;$ 580.000;$ 147.000 Expensas;45;1;0;1;0
Julian Alvarez  al 1200;Palermo Soho, Palermo;USD 600;$ 117.000 Expensas;43;1;1;1;0
Azcuenaga al 1900;Recoleta, Capital Federal;$ 1.500.000;;60;2;1;1;0
Paraguay  al 3000;Palermo, Capital Federal;$ 590.000;$ 50.000 Expensas;36;1;0;1;0
Marcelo T. de Alvear al 1300;Recoleta, Capital Federal;USD 800;;70;2;1;1;1
Salta al 500;Monserrat, Capital Federal;$ 450.000;;30;1;0;1;0
Ayacucho 1200;Recoleta, Capital Federal;USD 1.950;;171;4;3;2;1
República de Eslovenia  al 1900;Las Cañitas, Palermo;USD 900;$ 428.000 Expensas;55;2;1;1;1
Giribone al 1500;Villa Ortuzar, Capital Federal;$ 500.000;;32;1;0;1;0
Av. Alvear al 1800;Recoleta, Capital Federal;USD 400;$ 77.700 Expensas;14;1;1;1;0
fray justo santa maria de oro 6 37 2553;Botánico, Palermo;$ 470.000;$ 114.000 Expensas;45;2;1;1;0
Art Maria 2 Ambientes , 82 m2 con Cochera;Puerto Madero, Capital Federal;USD 1.800;$ 1 Expensas;82;2;1;1;1
Gallo al 1500;Recoleta, Capital Federal;$ 1.300.000;$ 234.500 Expensas;100;3;2;1;1
Avenida Olazábal 5100;Villa Urquiza, Capital Federal;$ 650.000;;58;2;1;1;0
San Juan  2000 3°;San Cristobal, Capital Federal;$ 450.000;$ 60.000 Expensas;29;1;0;1;0
Beruti  al 4600;Palermo, Capital Federal;$ 550.000;$ 172.000 Expensas;43;1;1;0;0
Talcahuano 1200;Recoleta, Capital Federal;USD 9.000;$ 450.000 Expensas;335;6;4;3;1
Encarnación Ezcurra al 300;Puerto Madero, Capital Federal;USD 800;$ 170.000 Expensas;41;1;1;1;0
Mitre 3218  3;Almagro, Capital Federal;$ 320.000;$ 90.000 Expensas;25;1;0;1;0
Holmberg al 2400;Villa Urquiza, Capital Federal;$ 700.000;$ 252.000 Expensas;52;2;1;1;0
11 de Setiembre  al 1700;Belgrano, Capital Federal;USD 4.000;$ 1.100.000 Expensas;300;4;3;2;2
Macacha Guemes al 300;Puerto Madero, Capital Federal;USD 5.000;$ 2.800.000 Expensas;426;4;3;4;2
Marta Lynch y J. Lanteri;Puerto Madero, Capital Federal;USD 4.000;$ 1.140.000 Expensas;174;3;2;3;2
Ciudad de la Paz  al 1900;Belgrano, Capital Federal;$ 600.000;$ 180.000 Expensas;35;2;1;1;0
AV Triunvirato  al 3785;Villa Ortuzar, Capital Federal;$ 400.000;$ 90.000 Expensas;30;1;0;1;0
Enrique Martinez al 1100;Colegiales, Capital Federal;$ 700.000;;65;3;2;1;0
Julieta Lanteri 1300;Puerto Madero, Capital Federal;USD 5.500;$ 990.000 Expensas;177;4;3;4;1
Ortega y Gasset 1900;Las Cañitas, Palermo;USD 1.600;$ 700.000 Expensas;75;3;2;2;1
Esmeralda  600 3°;Centro / Microcentro, Capital Federal;$ 700.000;$ 220.000 Expensas;60;3;2;1;0
Don Bosco  al 3700;Almagro, Capital Federal;$ 550.000;$ 50.000 Expensas;40;2;1;1;0
Coronel Díaz;Recoleta, Capital Federal;USD 1.300;$ 80.000 Expensas;90;4;2;1;0
AV. Coronel Diaz  al 2700;Palermo, Capital Federal;USD 3.400;$ 1.500.000 Expensas;298;7;4;3;1
Palermo;Palermo, Capital Federal;USD 1.800;;64;2;1;1;0
Luis Maria Campos al 700;Las Cañitas, Palermo;$ 700.000;$ 135.000 Expensas;60;3;2;1;0
Av. Córdoba al 3900;Almagro, Capital Federal;$ 480.000;$ 140.000 Expensas;43;1;0;1;0
Thames y Paraguay;Palermo Soho, Palermo;USD 1.200;$ 220.000 Expensas;75;3;2;1;1
Juana Manso -torre River View - al 700;Puerto Madero, Capital Federal;USD 2.200;$ 553.000 Expensas;93;3;2;1;1
Humboldt  al 2300;Palermo Hollywood, Palermo;$ 650.000;$ 140.000 Expensas;42;1;0;1;1
Guido al 1900;Recoleta, Capital Federal;USD 1.600;;46;1;1;1;1
Billinghurst 2553;Palermo, Capital Federal;$ 1.850.000;$ 550.000 Expensas;148;5;3;2;1
Austria  al 2500;Recoleta, Capital Federal;USD 650;;36;1;1;1;0
Valentin Gomez al 3100;Balvanera, Capital Federal;$ 480.000;$ 96.000 Expensas;44;2;1;1;0
Guatemala al 5600;Palermo Hollywood, Palermo;USD 750;$ 130.634 Expensas;45;1;0;1;0
Av. Pueyrredon al 2400;Recoleta, Capital Federal;USD 1.500;$ 331.226 Expensas;140;4;2;1;0
M. T de Alvear al 700;Centro / Microcentro, Capital Federal;$ 350.000;$ 80.000 Expensas;23;1;0;1;0
Av Rivadavia 6000;Caballito, Capital Federal;$ 690.000;$ 140.000 Expensas;65;3;2;1;0
Cabello y República de la India;Palermo, Capital Federal;USD 1.200;$ 110.000 Expensas;103;4;3;1;0
Cabello  N°3224 -piso  5;Palermo, Capital Federal;$ 550.000;$ 232.000 Expensas;39;1;1;1;0
Virrey del Pino  al 2600;Belgrano C, Belgrano;$ 550.000;$ 270.000 Expensas;36;2;1;1;0
Bolivia e/ General Rivas y Santo Tomé;Villa del Parque, Capital Federal;USD 1.400;;100;2;1;1;0
Av. Cordoba al 6500;Colegiales, Capital Federal;$ 1.100.000;$ 300.000 Expensas;68;3;2;1;1
11 de Septiembre  al 1900;Belgrano, Capital Federal;USD 4.500;$ 1.890.000 Expensas;380;5;4;5;2
Conde al 700;Colegiales, Capital Federal;$ 350.000;$ 74.000 Expensas;22;1;0;1;0
Dorrego 2779;Belgrano, Capital Federal;USD 720;$ 150.000 Expensas;55;2;1;1;0
Juan B. Alberdi al 200, Caballito;Caballito, Capital Federal;$ 280.000;$ 80.000 Expensas;20;1;0;1;0
Paraguay al 4700;Palermo Soho, Palermo;USD 3.800;;95;3;2;2;1
JOSE HERNANDEZ 2000. Entre Esquina arcos;Belgrano, Capital Federal;$ 1.100.000;$ 186.000 Expensas;82;4;3;2;0
Riobamba 927;Recoleta, Capital Federal;$ 900.000;$ 180.000 Expensas;55;2;1;1;0
JOSE LEON CABEZON 2800;Villa Pueyrredón, Capital Federal;$ 850.000;$ 95.000 Expensas;56;3;2;1;0
Encarnación Ezcurra al 400;Puerto Madero, Capital Federal;USD 900;$ 55.000 Expensas;30;1;0;1;0
Arce al 700 Piso 2º;Las Cañitas, Palermo;$ 380.000;$ 171.167 Expensas;35;1;0;1;0
Cabrera al 4100;Palermo Soho, Palermo;$ 850.000;$ 60.000 Expensas;59;2;1;1;0
Avenida Coronel Cárdenas e/ Avenida Eva Perón y Guamaní;Mataderos, Capital Federal;$ 380.000;$ 60.000 Expensas;30;2;1;1;0
Virrey Loreto al 1600;Palermo, Capital Federal;USD 2.450;$ 500.000 Expensas;189;5;3;3;1
Gorriti 4050 - Caba.;Palermo Viejo, Palermo;$ 420.000;$ 110.000 Expensas;27;1;1;1;0
Av Alvear al 1700;Recoleta, Capital Federal;USD 2.800;$ 414.042 Expensas;111;4;2;2;1
La Fronda 1600;Villa General Mitre, Capital Federal;$ 700.000;$ 160.000 Expensas;67;3;2;1;0
LAPRIDA 1294. Entre Charcas y Lucio mansilla;Recoleta, Capital Federal;$ 600.000;$ 154.000 Expensas;48;2;1;1;0
Cuba 2100;Belgrano, Capital Federal;USD 4.000;$ 1.000.000 Expensas;330;5;4;4;1
Río de Janeiro e/ General Venancio Flores y Lezica;Caballito, Capital Federal;$ 480.000;$ 140.000 Expensas;34;1;0;1;0
Beruti al 3300;Palermo, Capital Federal;USD 3.200;$ 310.000 Expensas;79;3;2;2;1
Virrey del Pino  al 2400;Belgrano, Capital Federal;$ 430.000;$ 23.000 Expensas;30;2;1;1;0
Paraguay e/ Ecuador y Jean Jaures;Recoleta, Capital Federal;USD 780;$ 166.000 Expensas;80;2;1;1;0
Terrero  al 700;Flores, Capital Federal;$ 460.000;$ 100.000 Expensas;47;1;0;1;0
Cabrera al 6000;Palermo Hollywood, Palermo;$ 750.000;$ 240.000 Expensas;65;2;1;1;0
Torre Forum | Echeverria 1800 | Belgrano | 18°;Belgrano, Capital Federal;USD 8.000;$ 2.500.000 Expensas;420;5;4;4;3
Julieta Lantieri 1331;Puerto Madero, Capital Federal;USD 4.200;$ 750.000 Expensas;178;4;3;2;2
Guido al 1900;Recoleta, Capital Federal;USD 600;$ 235.000 Expensas;42;1;0;1;0
Avalos 1900;Villa Urquiza, Capital Federal;$ 600.000;$ 130.000 Expensas;46;2;1;1;0
Florida  al 900;Retiro, Capital Federal;USD 1.500;$ 640.000 Expensas;210;4;2;2;0
Guatemala al 5100;Palermo Soho, Palermo;USD 6.000;$ 120.000 Expensas;235;4;3;5;1
Virrey Loreto  al 2000;Belgrano, Capital Federal;USD 4.000;$ 900.000 Expensas;184;5;3;2;2
Jorge Newbery  al 1800;Las Cañitas, Palermo;$ 550.000;$ 180.000 Expensas;34;1;0;1;0
Aráoz  al 1700;Palermo Soho, Palermo;USD 800;$ 250.000 Expensas;95;2;1;1;1
Marcelo T De Alvear  1200 1°;Retiro, Capital Federal;$ 550.000;$ 148.000 Expensas;52;2;1;1;0
Juana Manso 1100;Puerto Madero, Capital Federal;USD 1.400;$ 559.000 Expensas;90;2;1;1;2
Guemes 3200;Palermo, Capital Federal;$ 900.000;$ 282.000 Expensas;75;3;2;1;0
Santa Fe e/ Vidit y Bulnes;Palermo, Capital Federal;USD 1.200;$ 50.000 Expensas;120;4;2;1;0
Av. Libertador  al 3100;Palermo Chico, Palermo;USD 3.800;$ 1.300.000 Expensas;379;6;3;3;1
Avenida Jujuy al 1700;Parque Patricios, Capital Federal;$ 430.000;$ 100.000 Expensas;29;1;0;1;0
Pavon 3700. Entre Castro barros y Colombres;Boedo, Capital Federal;$ 400.000;$ 83.000 Expensas;34;1;1;1;0
Niceto Vega al 5800;Palermo, Capital Federal;$ 890.000;$ 80.000 Expensas;50;2;1;1;0
Av. Callao  al 1900;Recoleta, Capital Federal;$ 950.000;$ 297.000 Expensas;110;4;3;1;0
Av. Federico Lacroze al 3900;Chacarita, Capital Federal;$ 480.000;$ 195.000 Expensas;50;2;1;1;0
Blanco Encalada al 1800;Belgrano, Capital Federal;USD 800;$ 80.000 Expensas;49;0;1;1;0
Charcas  al 4700;Palermo, Capital Federal;USD 900;;63;2;1;1;0
Luis María Campos al 300;Las Cañitas, Palermo;$ 420.000;$ 98.400 Expensas;32;2;1;1;0
Anchorena al 1600;Palermo, Capital Federal;$ 650.000;$ 115.000 Expensas;46;2;1;1;0
Rodriguez Peña  al 2000;Recoleta, Capital Federal;USD 1.400;$ 184.000 Expensas;66;2;2;2;0
Ruggieri Y AV. DEL Libertador;Palermo, Capital Federal;USD 1.750;$ 151.400 Expensas;78;3;2;1;0
Concepción Arenal  al 3300;Colegiales, Capital Federal;$ 900.000;$ 200.000 Expensas;80;3;2;1;1
Av. Cramer al 2200;Belgrano, Capital Federal;USD 3.000;$ 900.000 Expensas;279;7;5;4;2
Castex al 3300;Palermo Chico, Palermo;USD 2.900;$ 826.000 Expensas;159;4;3;3;2
Posadas al 1200;Recoleta, Capital Federal;USD 3.200;;160;4;3;2;1
AGUERO 500. Entre Guardia vieja y Humahuaca;Balvanera, Capital Federal;$ 400.000;$ 95.000 Expensas;35;1;1;1;0
Matienzo al 2500;Palermo, Capital Federal;USD 750;$ 220.000 Expensas;56;2;1;1;1
Jaramillo 1600;Núñez, Capital Federal;$ 680.000;$ 287.000 Expensas;44;2;1;1;0
Solano López 3372 - Caba;Villa Devoto, Capital Federal;$ 350.000;$ 169.000 Expensas;37;2;1;1;0
Vuelta de Obligado al 1500;Belgrano, Capital Federal;$ 2.000.000;$ 900.000 Expensas;310;5;4;2;1
AV Congreso  al 2300;Belgrano, Capital Federal;$ 420.000;$ 177.000 Expensas;33;1;0;1;0
Jerónimo Salguero al 2800;Palermo Chico, Palermo;USD 3.000;$ 988.000 Expensas;209;6;4;3;1
Teniente Benjamín Matienzo y Arce;Las Cañitas, Palermo;$ 1.200.000;$ 200.000 Expensas;90;3;2;1;0
Altolaguirre y Avenida Olazábal;Villa Urquiza, Capital Federal;$ 420.000;$ 50.000 Expensas;34;1;0;1;0
Av Alvear al 1400;Recoleta, Capital Federal;USD 4.500;$ 1.351.130 Expensas;324;5;3;4;2
Juncal al 2000;Recoleta, Capital Federal;$ 900.000;$ 144.000 Expensas;71;3;2;2;0
Elcano al 3300;Belgrano, Capital Federal;$ 800.000;$ 80.000 Expensas;63;2;1;1;0
Costa Rica  al 4100;Palermo, Capital Federal;USD 750;;35;1;0;1;0
Cap. Gral. Ramón Freire 2400;Belgrano, Capital Federal;USD 600;$ 288.000 Expensas;46;2;1;2;0
Artilleros Plaza - Artilleros al 1800;Belgrano, Capital Federal;USD 10.000;$ 120.000 Expensas;578;4;3;3;3
Tucumàn al 2900;Balvanera, Capital Federal;$ 400.000;$ 60.000 Expensas;21;2;1;1;0
Distrito Quartier.;Retiro, Capital Federal;USD 750;;47;1;1;1;0
Juez Tedin al 3100;Barrio Parque, Palermo;USD 5.000;$ 1.000.000 Expensas;417;9;4;3;2
Bulnes 2500;Palermo, Capital Federal;$ 500.000;$ 190.000 Expensas;37;1;0;1;0
Viamonte e/ Suipacha y Esmeralda;San Nicolás, Capital Federal;$ 450.000;$ 130.000 Expensas;40;1;0;1;0
Av. San Martín 3420  - Caba.;La Paternal, Capital Federal;$ 400.000;$ 70.000 Expensas;35;1;1;1;0
Juana Manso 1600;Puerto Madero, Capital Federal;USD 1.900;$ 650.000 Expensas;100;4;3;2;1
Avenida Belgrano y Balcarce;San Telmo, Capital Federal;USD 550;;40;2;1;1;0
Jorge Newbery 1500;Belgrano, Capital Federal;USD 1.800;$ 717.537 Expensas;200;5;4;2;1
Juana Manso 1100;Puerto Madero, Capital Federal;USD 3.700;$ 1.200.000 Expensas;201;3;2;4;1
Honduras  al 4100;Palermo, Capital Federal;USD 1.000;;50;2;1;1;1
Soldado de la Independencia 500;Las Cañitas, Palermo;$ 380.000;$ 280.000 Expensas;33;1;0;1;0
Lavalleja 200;Villa Crespo, Capital Federal;$ 1.500.000;$ 260.000 Expensas;150;4;3;3;0
